seatId|scheduleId|seatNumber|isBooked
1|1|A1|false
2|1|A2|false
3|1|A3|false
4|1|A4|false
5|1|A5|false
6|1|B1|false
7|1|B2|false
8|1|B3|false
9|1|B4|false
10|1|B5|false
11|1|C1|false
12|1|C2|false
13|1|C3|false
14|1|C4|false
15|1|C5|false

16|2|A1|false
17|2|A2|false
18|2|A3|false
19|2|A4|false
20|2|A5|false
21|2|B1|false
22|2|B2|false
23|2|B3|false
24|2|B4|false
25|2|B5|false
26|2|C1|false
27|2|C2|false
28|2|C3|false
29|2|C4|false
30|2|C5|false

31|3|A1|false
32|3|A2|false
33|3|A3|false
34|3|A4|false
35|3|A5|false
36|3|B1|false
37|3|B2|false
38|3|B3|false
39|3|B4|false
40|3|B5|false
41|3|C1|false
42|3|C2|false
43|3|C3|false
44|3|C4|false
45|3|C5|false

46|4|A1|false
47|4|A2|false
48|4|A3|false
49|4|A4|false
50|4|A5|false
51|4|B1|false
52|4|B2|false
53|4|B3|false
54|4|B4|false
55|4|B5|false
56|4|C1|false
57|4|C2|false
58|4|C3|false
59|4|C4|false
60|4|C5|false

61|5|A1|false
62|5|A2|false
63|5|A3|false
64|5|A4|false
65|5|A5|false
66|5|B1|false
67|5|B2|false
68|5|B3|false
69|5|B4|false
70|5|B5|false
71|5|C1|false
72|5|C2|false
73|5|C3|false
74|5|C4|false
75|5|C5|false

76|6|A1|false
77|6|A2|false
78|6|A3|false
79|6|A4|false
80|6|A5|false
81|6|B1|false
82|6|B2|false
83|6|B3|false
84|6|B4|false
85|6|B5|false
86|6|C1|false
87|6|C2|false
88|6|C3|false
89|6|C4|false
90|6|C5|false

91|7|A1|false
92|7|A2|false
93|7|A3|false
94|7|A4|false
95|7|A5|false
96|7|B1|false
97|7|B2|false
98|7|B3|false
99|7|B4|false
100|7|B5|false
101|7|C1|false
102|7|C2|false
103|7|C3|false
104|7|C4|false
105|7|C5|false

106|8|A1|false
107|8|A2|false
108|8|A3|false
109|8|A4|false
110|8|A5|false
111|8|B1|false
112|8|B2|false
113|8|B3|false
114|8|B4|false
115|8|B5|false
116|8|C1|false
117|8|C2|false
118|8|C3|false
119|8|C4|false
120|8|C5|false

121|9|A1|false
122|9|A2|false
123|9|A3|false
124|9|A4|false
125|9|A5|false
126|9|B1|false
127|9|B2|false
128|9|B3|false
129|9|B4|false
130|9|B5|false
131|9|C1|false
132|9|C2|false
